"Type1"	"Type2"	"Type3"	"Type4"	"Rep1"	"Rep2"	"Rep3"	"Treat"	
"1"	1	0	0	0	1	0	0	1
"2"	1	0	0	0	0	1	0	1
"3"	1	0	0	0	0	0	1	1
"4"	1	0	0	0	0	0	0	1
"5"	1	0	0	0	1	0	0	0
"6"	1	0	0	0	0	1	0	0
"7"	1	0	0	0	0	0	1	0
"8"	1	0	0	0	0	0	0	0
"9"	0	1	0	0	1	0	0	1
"10"	0	1	0	0	0	1	0	1
"11"	0	1	0	0	0	0	1	1
"12"	0	1	0	0	0	0	0	1
"13"	0	1	0	0	1	0	0	0
"14"	0	1	0	0	0	1	0	0
"15"	0	1	0	0	0	0	1	0
"16"	0	1	0	0	0	0	0	0
"17"	0	0	1	0	1	0	0	1
"18"	0	0	1	0	0	1	0	1
"19"	0	0	1	0	0	0	1	1
"20"	0	0	1	0	0	0	0	1
"21"	0	0	1	0	1	0	0	0
"22"	0	0	1	0	0	1	0	0
"23"	0	0	1	0	0	0	1	0
"24"	0	0	1	0	0	0	0	0
"25"	0	0	0	1	1	0	0	1
"26"	0	0	0	1	0	1	0	1
"27"	0	0	0	1	0	0	1	1
"28"	0	0	0	1	0	0	0	1
"29"	0	0	0	1	1	0	0	0
"30"	0	0	0	1	0	1	0	0
"31"	0	0	0	1	0	0	1	0
"32"	0	0	0	1	0	0	0	0
"33"	0	0	0	0	1	0	0	1
"34"	0	0	0	0	0	1	0	1
"35"	0	0	0	0	0	0	1	1
"36"	0	0	0	0	0	0	0	1
"37"	0	0	0	0	1	0	0	0
"38"	0	0	0	0	0	1	0	0
"39"	0	0	0	0	0	0	1	0
"40"	0	0	0	0	0	0	0	0
